"COUNTRY_CD","STATE_CD","STATE_NM"
CN,"90",New Brunswick
CN,"91",Quebec
CN,"92",Ontario
CN,"93",Manitoba
CN,"94",Saskatchewan
CN,"95",Alberta
CN,"96",British Columbia
CN,"97",Yukon Territories
CN,"98",Nova Scotia
MX,"81",Tamulipas
MX,"82",Nuevo Leon
MX,"83",Coahuila
MX,"84",Chihauhau
MX,"85",Sonora
MX,"86",Baja California Norte
PM,"61",Panama
US,"01",Alabama
US,"02",Alaska
US,"04",Arizona
US,"05",Arkansas
US,"06",California
US,"08",Colorado
US,"09",Connecticut
US,"10",Delaware
US,"11",District of Columbia
US,"12",Florida
US,"13",Georgia
US,"15",Hawaii
US,"16",Idaho
US,"17",Illinois
US,"18",Indiana
US,"19",Iowa
US,"20",Kansas
US,"21",Kentucky
US,"22",Louisiana
US,"23",Maine
US,"24",Maryland
US,"25",Massachusetts
US,"26",Michigan
US,"27",Minnesota
US,"28",Mississippi
US,"29",Missouri
US,"30",Montana
US,"31",Nebraska
US,"32",Nevada
US,"33",New Hampshire
US,"34",New Jersey
US,"35",New Mexico
US,"36",New York
US,"37",North Carolina
US,"38",North Dakota
US,"39",Ohio
US,"40",Oklahoma
US,"41",Oregon
US,"42",Pennsylvania
US,"44",Rhode Island
US,"45",South Carolina
US,"46",South Dakota
US,"47",Tennessee
US,"48",Texas
US,"49",Utah
US,"50",Vermont
US,"51",Virginia
US,"53",Washington
US,"54",West Virginia
US,"55",Wisconsin
US,"56",Wyoming
US,"60",American Samoa
US,"62",Canton and Enderbury Islands
US,"66",Guam
US,"67",Johnston Atoll
US,"69",Northern Mariana Islands
US,"71",Midway Islands
US,"72",Puerto Rico
US,"73","Ryukyu Islands, Southern"
US,"74",Swan Islands
US,"75","Trust Territories, Pacific Is"
US,"76",U.S. Misc Caribbean Islands
US,"77",U.S. Misc Pacific Islands
US,"78",Virgin Islands
US,"79",Wake Island
RM,"68",Marshall Islands
US,"65",Palmyra Atoll
CA,"90",New Brunswick
PS,"70",Palau
CA,"93",Manitoba
CA,"92",Ontario
CA,"96",British Columbia
CA,"97",Yukon Territories
CA,"95",Alberta
CA,"94",Saskatchewan
CA,"98",Nova Scotia
FM,"64",Federated States Of Micronesia
CA,"91",Quebec
